nb_candidats_g;note_a_l_ecrit_g;taux_d_acces_6eme_3eme;part_presents_3eme_ordinaire_total;taux_de_reussite_g
132;10.3;94.0;97.0;90.0
106;11.7;90.0;93.0;95.0
105;11.9;94.0;98.0;88.0
126;10.5;95.0;97.0;87.0
223;13.4;95.0;97.0;99.0
85;8.8;90.0;99.0;96.0
76;9.0;96.0;100.0;74.0
115;12.5;88.0;96.0;94.0
148;11.8;93.0;98.0;92.0
238;14.3;94.0;98.0;100.0
132;14.1;91.0;99.0;100.0
101;13.0;96.0;98.0;93.0
54;10.5;99.0;84.0;76.0
35;10.4;93.0;95.0;80.0
63;11.7;95.0;97.0;89.0
128;11.7;93.0;99.0;93.0
155;12.1;98.0;98.0;90.0
80;12.2;92.0;94.0;86.0
126;14.2;94.0;98.0;100.0
81;12.2;95.0;100.0;96.0
87;10.8;90.0;98.0;83.0
60;11.0;91.0;100.0;88.0
181;13.8;85.0;99.0;100.0
68;13.5;85.0;100.0;99.0
212;12.8;90.0;98.0;96.0
76;14.4;95.0;100.0;100.0
69;11.1;98.0;97.0;94.0
46;12.2;94.0;98.0;87.0
52;11.1;88.0;96.0;92.0
123;13.2;97.0;97.0;98.0
187;12.4;96.0;99.0;96.0
79;13.0;89.0;89.0;96.0
97;11.4;81.0;100.0;91.0
132;11.3;94.0;97.0;86.0
78;10.5;89.0;96.0;79.0
82;10.5;86.0;93.0;87.0
148;12.3;85.0;95.0;88.0
109;11.8;71.0;96.0;96.0
85;11.6;76.0;97.0;94.0
71;12.2;87.0;95.0;99.0
137;11.6;90.0;94.0;88.0
78;10.3;94.0;99.0;95.0
104;12.6;96.0;98.0;99.0
70;9.5;88.0;99.0;63.0
146;13.5;88.0;99.0;100.0
107;9.0;93.0;94.0;79.0
117;8.2;88.0;91.0;81.0
149;11.8;92.0;94.0;93.0
163;11.5;92.0;97.0;90.0
114;10.1;92.0;97.0;82.0
127;9.1;97.0;86.0;89.0
88;9.9;88.0;93.0;82.0
74;8.5;88.0;89.0;78.0
189;10.7;89.0;94.0;88.0
103;9.6;95.0;94.0;84.0
78;9.1;88.0;99.0;78.0
180;14.6;85.0;97.0;100.0
84;12.9;83.0;100.0;100.0
87;13.0;79.0;99.0;98.0
193;10.9;95.0;96.0;96.0
144;12.1;94.0;93.0;96.0
189;10.6;94.0;91.0;87.0
152;11.6;96.0;94.0;95.0
115;12.1;93.0;97.0;91.0
82;9.5;96.0;99.0;98.0
115;10.8;92.0;92.0;85.0
99;9.4;89.0;97.0;71.0
189;13.4;87.0;97.0;99.0
142;13.1;88.0;97.0;100.0
131;10.8;89.0;96.0;82.0
180;11.4;94.0;96.0;95.0
107;13.8;82.0;98.0;100.0
103;11.8;96.0;90.0;89.0
253;13.4;96.0;100.0;98.0
164;14.2;94.0;100.0;100.0
93;10.4;90.0;95.0;81.0
107;12.0;89.0;99.0;92.0
175;11.1;94.0;99.0;90.0
65;10.5;94.0;100.0;88.0
47;11.1;88.0;96.0;79.0
64;10.3;95.0;98.0;81.0
154;13.4;91.0;96.0;97.0
135;12.0;87.0;96.0;87.0
36;10.0;96.0;92.0;83.0
36;11.3;97.0;94.0;89.0
96;11.8;90.0;95.0;95.0
83;9.7;85.0;95.0;75.0
155;11.5;95.0;92.0;86.0
34;11.1;98.0;100.0;97.0
112;10.2;95.0;99.0;88.0
103;11.7;94.0;96.0;94.0
62;10.7;77.0;98.0;95.0
68;11.3;93.0;97.0;88.0
217;13.3;86.0;98.0;99.0
103;12.2;90.0;95.0;83.0
140;10.2;93.0;97.0;88.0
155;11.0;96.0;99.0;95.0
112;10.7;94.0;98.0;88.0
120;10.5;93.0;100.0;94.0
116;8.9;93.0;97.0;86.0
133;11.8;89.0;99.0;92.0
172;12.7;94.0;100.0;92.0
145;12.0;91.0;97.0;88.0
169;12.5;93.0;94.0;95.0
133;10.0;94.0;100.0;93.0
96;9.4;89.0;95.0;92.0
125;11.2;89.0;100.0;93.0
105;11.8;95.0;97.0;95.0
97;7.5;86.0;99.0;93.0
159;14.1;97.0;96.0;95.0
152;11.6;96.0;91.0;94.0
199;15.5;98.0;97.0;100.0
188;15.7;97.0;98.0;100.0
112;11.2;87.0;97.0;91.0
121;9.9;81.0;98.0;82.0
150;9.3;92.0;97.0;87.0
151;11.3;92.0;98.0;87.0
192;13.0;92.0;100.0;96.0
132;8.2;89.0;99.0;78.0
147;10.8;96.0;97.0;90.0
147;8.9;86.0;95.0;83.0
95;13.4;97.0;99.0;100.0
50;13.3;77.0;100.0;90.0
144;10.5;92.0;96.0;90.0
150;8.7;91.0;96.0;87.0
109;10.3;85.0;99.0;90.0
152;10.1;94.0;99.0;86.0
152;8.2;89.0;96.0;74.0
147;10.4;97.0;96.0;86.0
163;9.2;92.0;100.0;83.0
174;9.9;91.0;95.0;81.0
85;8.0;92.0;96.0;75.0
112;11.0;96.0;92.0;89.0
150;9.7;92.0;96.0;86.0
173;10.9;93.0;98.0;94.0
158;9.2;92.0;97.0;76.0
148;12.3;87.0;99.0;99.0
117;7.7;85.0;100.0;77.0
207;6.9;86.0;94.0;83.0
152;9.5;90.0;97.0;80.0
121;9.4;94.0;98.0;76.0
188;10.5;91.0;96.0;90.0
85;8.3;86.0;94.0;85.0
143;10.0;94.0;94.0;89.0
109;7.6;88.0;90.0;79.0
84;8.5;86.0;96.0;81.0
92;10.3;88.0;95.0;82.0
139;10.1;94.0;96.0;78.0
162;11.7;95.0;94.0;95.0
78;11.4;86.0;91.0;88.0
196;11.8;96.0;98.0;95.0
96;9.7;97.0;97.0;76.0
83;10.6;90.0;97.0;89.0
94;9.6;87.0;98.0;76.0
76;11.4;90.0;96.0;99.0
129;10.1;86.0;93.0;86.0
62;9.7;92.0;100.0;76.0
154;9.8;91.0;99.0;83.0
99;9.7;90.0;97.0;92.0
119;9.3;90.0;98.0;76.0
94;10.2;88.0;98.0;87.0
108;11.1;98.0;98.0;88.0
109;9.4;91.0;96.0;79.0
143;9.1;91.0;98.0;84.0
88;9.7;85.0;93.0;85.0
121;9.8;98.0;98.0;83.0
182;10.8;98.0;98.0;89.0
98;10.9;94.0;95.0;85.0
